주제: 장애인 학습권 보장을 위한 수강신청 도움,,,"Property는 relation과 attribute로 나뉨. relation은 instance(객체)로 정의된 object를 연결할때, attribute는 특정 값을 object로 연결할때의 predicate를 말함.",,,,,,,
,,,,,,,,,,
클래스,,,,,,어트리뷰트(Attribute),,,,
클래스명,한글명,설명,,타입,,영문명,한글명,정의역,치역,설명
Building,건물,서울대학교 캠퍼스 내 주요 건물,,Str,,강의동,,,,
      └ Room,강의실,건물 내 특정 공간 (강의가 열리는 장소),,Int,,geoLat,위도,지도 매핑용 위도,Float,
Route,경로,건물과 건물 사이의 경로 ,,Str,,geoLong,경도,지도 매핑용 경도,Float,
Course,강의,수업이 개설되는 과목,사용자 시나리오의 출발/도착 과목,Str,,강의,,,,
Facility,편의시설,이동을 돕는 장애인 전용 시설 (긍정적 요소),,,,dayOfWeek,요일,수업이 열리는 요일. ,Str,
Hazard,위험요소,휠체어 이동을 방해하거나 위험하게 하는 요소 (부정적 요소),,,,루트,,,,
TimePoint,시간,시작 시간 & 끝 시간 정의,,DateTime,,distance,길이,경로 길이,Float,
,,,,,,,,,,
릴레이션(Relation),,,,,,,,,,
영문명,한글명,정의역,치역,,설명,,,,,
강의 및 장소 연결,,,,,,,,,,
isHeldAt,강의_장소,Course,Room,,특정 강의가 열리는 강의실을 연결 (예: 컴퓨터구조 → 301동 203호),,,,,
hasRoom,소속_건물,Building,Room,,층 안에 존재하는 강의실(예: 공학관 -> 203호),,,,,
connectsTo,연결_대상,Route,Building,,길이 어느 건물로 연결되는지(예: 공학관 진입로 -> 공학관),,,,,
isLocatedIn,위치함,Room,Building,,강의실이 어느 건물 소속인지 바로 조회용,,,,,
StartTime,시작시간,Course,TimePoint,,강의 시작 시간,,,,,
EndTime,종료시간,Course,TimePoint,,강의 종료 시간,,,,,
시설 및 위험요소 (접근성),,,,,,,,,,
hasFacility,시설_보유,Building,Facility,,건물이나 층에 설치된 편의시설 (예: 301동 → 엘리베이터),,,,,
hasHazard,위험_포함,"Route, Building",Hazard,,경로상이나 건물 입구에 존재하는 위험요소 (예: 진입로 → 턱),,,,,
Instance,,,,,,,,,,
instanceOf,~의 인스턴스,instance,"Course, Building,Route,Room,Facility,Hazard,TimePoint",,인스턴스 확인,,,,,
,,,,,,,,,,
Facility Instance,,,,"Facility와 Hazard는 객체로, instance로 만들어서 ""hasFacility""와 ""hasHazard"" relation으로 나타낼 것임.",,,,,,
속성명,한글명,설명,,"""hasFacility""와 ""hasHazard"" relation이 없다면, 해당 건물에는 그 요소가 없다는 것!",,,,,,
WC,장애인화장실,"건물 간 또는 건물 내 이동 통로 (복도, 외부 도로)",,,,,,,,
lift,엘리베이터,,,,,,,,,
Ramp,경사로,,,,,,,,,
AutoDoor,자동문,,,,,,,,,
,,,,,,,,,,
Hazard Instance,,,,,,,,,,
속성명,한글명,설명,근거,,,,,,,
Curb,턱,2cm 이상,*참고문헌 ,,,,,,,
Crosswalk,횡단보도,,,,,,,,,
Bollard,볼라드,,,,,,,,,
Steep,급경사,4.76도 이상,*참고문헌 ,,,,,,,
