sort,id,label,description,mode,color,value,,,,,,,,
Class,C001,Building,대학 내 건물(동),circle,#99FF99,1,,,,,,,,
Class,C003,Room,수업이 진행되는 건물 내부의 특정 공간,circle,#99FF99,,,,,,,,,1
Class,C004,Route,건물과 건물 사이의 경로 ,circle,#99FF99,,,,,,,,,
Class,C005,Course,수업이 개설되는 과목,circle,#99FF99,,,,,,,,,
Class,C006,Facility,이동을 돕는 장애인 전용 시설 (긍정적 요소),circle,#99FF99,,,,,,,,,
Class,C007,Hazard,휠체어 이동을 방해하거나 위험하게 하는 요소 (부정적 요소),circle,#99FF99,,,,,,,,,
Class,C008,TimePoint,시작 시간 & 끝 시간 정의,circle,#99FF99,,,,,,,,,
Instance,N001,43-1동,관악캠퍼스43-1동(이공계멀티미디어강의동),rectangle,#FF3232,,,,,,,,,
Instance,N002,24동,서울대학교 관악캠퍼스 자연과학관6 ,rectangle,#FF3232,,,,,,,,,
Instance,N003,25동,서울대학교 관악캠퍼스 자연과학관7,rectangle,#FF3232,,,,,,,,,
Instance,N004,500동,서울대학교 관악캠퍼스 대학원교육연구동 2단계,rectangle,#FF3232,,,,,,,,,
Instance,N005,62동,서울대학교 관악캠퍼스 중앙도서관 본관,rectangle,#FF3232,,,,,,,,,
Instance,10101,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10102,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10103,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10104,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10105,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10106,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10107,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10108,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10109,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10110,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10111,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10112,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10113,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10114,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10115,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10116,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10117,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10118,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10119,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10120,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10121,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10122,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10123,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10124,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10125,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10126,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10127,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10128,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10129,수학1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10201,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10202,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10203,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10204,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10205,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10206,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10207,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10208,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10209,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10210,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10211,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10212,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10213,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10214,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
Instance,10215,수학연습1,과목명,Circle,#E6E6FA,,,,,,,,,
